Protein	EC number
P21525	non Enzyme
Q12948	non Enzyme
P21462	non Enzyme
P23900	non Enzyme
Q5H8C1	non Enzyme
P02792	non Enzyme
Q9VVX3	non Enzyme
P19970	non Enzyme
Q8C180	non Enzyme
Q90844	non Enzyme
O82533	non Enzyme
P31381	non Enzyme
Q10279	non Enzyme
Q55835	non Enzyme
F1QDF8	non Enzyme
P43574	non Enzyme
P15976	non Enzyme
Q91428	non Enzyme
Q8WUU5	non Enzyme
O75344	non Enzyme
P40466	non Enzyme
P41813	non Enzyme
Q08967	non Enzyme
Q8NFG4	non Enzyme
P06974	non Enzyme
Q14315	non Enzyme
P32768	non Enzyme
P38894	non Enzyme
O75955	non Enzyme
Q14254	non Enzyme
Q21156	non Enzyme
Q6RKD8	non Enzyme
Q8BLU0	non Enzyme
P49772	non Enzyme
Q940U6	non Enzyme
Q9NFU0	non Enzyme
P91889	non Enzyme
Q9QY14	non Enzyme
P42128	non Enzyme
O00409	non Enzyme
Q9R1E0	non Enzyme
Q14331	non Enzyme
Q6ZUT3	non Enzyme
Q8IN81	non Enzyme
Q9VT28	non Enzyme
Q9FL59	non Enzyme
P29791	non Enzyme
P17501	non Enzyme
P04855	non Enzyme
Q9W596	non Enzyme
Q6P050	non Enzyme
P58421	non Enzyme
Q9R1K5	non Enzyme
P27469	non Enzyme
O95866	non Enzyme
O43826	non Enzyme
Q86XJ1	non Enzyme
P04739	non Enzyme
A6P3B2	non Enzyme
Q8WW38	non Enzyme
O94532	non Enzyme
Q54WH2	non Enzyme
Q54KF1	non Enzyme
Q10572	non Enzyme
Q9VS05	non Enzyme
A2BGM5	non Enzyme
Q9BTV5	non Enzyme
P33244	non Enzyme
Q9SXZ2	non Enzyme
P03420	non Enzyme
Q9FVI6	non Enzyme
Q8IWF2	non Enzyme
Q96DB9	non Enzyme
P58957	non Enzyme
Q8TAE8	non Enzyme
Q99501	non Enzyme
O43559	non Enzyme
O14926	non Enzyme
O95633	non Enzyme
P47931	non Enzyme
Q42545	non Enzyme
Q9LXJ0	non Enzyme
Q96AE4	non Enzyme
P51116	non Enzyme
O15117	non Enzyme
O42579	non Enzyme
O60353	non Enzyme
O75084	non Enzyme
P24522	non Enzyme
P11284	non Enzyme
P10683	non Enzyme
O08726	non Enzyme
P11862	non Enzyme
O13692	non Enzyme
P46690	non Enzyme
P51145	non Enzyme
Q29AP1	non Enzyme
P35583	non Enzyme
Q9PSY4	non Enzyme
Q8K3Q3	non Enzyme
Q70KY4	non Enzyme
O16850	non Enzyme
Q9P2B2	non Enzyme
Q86XX4	non Enzyme
P35554	non Enzyme
F4J3N2	non Enzyme
P06136	non Enzyme
P17865	non Enzyme
Q8IVP5	non Enzyme
Q03456	non Enzyme
Q9LW31	non Enzyme
Q14802	non Enzyme
Q61091	non Enzyme
Q9Z0U4	non Enzyme
Q9C5H9	non Enzyme
O00899	non Enzyme
Q14C86	non Enzyme
Q60779	non Enzyme
P11551	non Enzyme
Q96A29	non Enzyme
Q3UYI6	non Enzyme
Q9DE25	non Enzyme
Q9DEN4	non Enzyme
Q9BQS8	non Enzyme
Q8TED4	non Enzyme
Q9UQC2	non Enzyme
P04387	non Enzyme
P28007	non Enzyme
Q84J95	non Enzyme
Q5JY77	non Enzyme
P32239	non Enzyme
P23824	non Enzyme
P23769	non Enzyme
Q8TB36	non Enzyme
Q9EQD0	non Enzyme
Q9UM11	non Enzyme
P03661	non Enzyme
Q06547	non Enzyme
Q06546	non Enzyme
O75899	non Enzyme
Q9FG37	non Enzyme
Q08605	non Enzyme
P19558	non Enzyme
P11269	non Enzyme
P22381	non Enzyme
Q9H2C0	non Enzyme
Q08369	non Enzyme
P29829	non Enzyme
P18851	non Enzyme
P38040	non Enzyme
P59768	non Enzyme
P50150	non Enzyme
O18640	non Enzyme
Q9XYP7	non Enzyme
Q96CW5	non Enzyme
Q9UGJ1	non Enzyme
Q96RT7	non Enzyme
P07261	non Enzyme
P35197	non Enzyme
P39726	non Enzyme
Q95UQ1	non Enzyme
P52565	non Enzyme
Q09763	non Enzyme
O75496	non Enzyme
O00451	non Enzyme
Q9UJY4	non Enzyme
P39572	non Enzyme
Q9UG22	non Enzyme
Q96F15	non Enzyme
Q8NHV1	non Enzyme
Q95ZK7	non Enzyme
O94652	non Enzyme
Q0VGT2	non Enzyme
Q8WWB7	non Enzyme
P18494	non Enzyme
P32301	non Enzyme
Q6NLV4	non Enzyme
Q61086	non Enzyme
Q9ULV1	non Enzyme
Q8L3Z8	non Enzyme
P57057	non Enzyme
Q13480	non Enzyme
Q5HZ36	non Enzyme
P17678	non Enzyme
Q92908	non Enzyme
Q8SY33	non Enzyme
O14775	non Enzyme
P50151	non Enzyme
P03188	non Enzyme
P06473	non Enzyme
Q01722	non Enzyme
P43029	non Enzyme
O60383	non Enzyme
P38301	non Enzyme
Q69091	non Enzyme
P47102	non Enzyme
D3YN49	non Enzyme
Q9VVX0	non Enzyme
P57678	non Enzyme
P55040	non Enzyme
Q8GWW8	non Enzyme
Q02644	non Enzyme
Q92847	non Enzyme
O74849	non Enzyme
Q06648	non Enzyme
Q03833	non Enzyme
P40066	non Enzyme
P04591	non Enzyme
Q9NFZ3	non Enzyme
Q24352	non Enzyme
P28472	non Enzyme
Q99928	non Enzyme
P60520	non Enzyme
Q9SMN1	non Enzyme
Q96CN9	non Enzyme
Q8IWJ2	non Enzyme
Q9BSJ2	non Enzyme
Q9VKU7	non Enzyme
P35547	non Enzyme
Q9Z1W4	non Enzyme
P20863	non Enzyme
P85857	non Enzyme
P43028	non Enzyme
P31150	non Enzyme
Q07235	non Enzyme
Q07171	non Enzyme
P09681	non Enzyme
Q03768	non Enzyme
P13360	non Enzyme
Q8VDL9	non Enzyme
Q20636	non Enzyme
P36408	non Enzyme
Q10282	non Enzyme
Q92538	non Enzyme
Q95ZG8	non Enzyme
O24456	non Enzyme
P14867	non Enzyme
P30191	non Enzyme
P25123	non Enzyme
P18507	non Enzyme
Q9H0R8	non Enzyme
P24046	non Enzyme
P28476	non Enzyme
Q9XYP8	non Enzyme
Q96RT8	non Enzyme
F4IEM5	non Enzyme
P23434	non Enzyme
P55163	non Enzyme
P04488	non Enzyme
P14136	non Enzyme
P03995	non Enzyme
Q9N658	non Enzyme
Q9U6Y4	non Enzyme
J3KML8	non Enzyme
Q5SV77	non Enzyme
Q02643	non Enzyme
Q9UBU3	non Enzyme
P43219	non Enzyme
Q06145	non Enzyme
Q9C9H1	non Enzyme
Q14161	non Enzyme
Q67XG0	non Enzyme
O31691	non Enzyme
Q8BMF8	non Enzyme
Q9VD73	non Enzyme
Q5SZK8	non Enzyme
A1L4K1	non Enzyme
Q60687	non Enzyme
Q9EQC7	non Enzyme
Q05192	non Enzyme
Q9H469	non Enzyme
P07480	non Enzyme
P48423	non Enzyme
P19145	non Enzyme
Q9H4G4	non Enzyme
Q9NY12	non Enzyme
P01350	non Enzyme
P23772	non Enzyme
Q9BWX5	non Enzyme
Q8WTX7	non Enzyme
P26308	non Enzyme
P62873	non Enzyme
P42774	non Enzyme
P42775	non Enzyme
Q61012	non Enzyme
P18852	non Enzyme
P25555	non Enzyme
P16383	non Enzyme
Q91X44	non Enzyme
O75603	non Enzyme
Q92616	non Enzyme
P33892	non Enzyme
P03069	non Enzyme
Q9FDX9	non Enzyme
Q9UJY5	non Enzyme
P38817	non Enzyme
Q9NZ52	non Enzyme
Q6K1E7	non Enzyme
Q8N1E6	non Enzyme
Q9CZV8	non Enzyme
O93274	non Enzyme
Q9M350	non Enzyme
P14349	non Enzyme
P03345	non Enzyme
P26807	non Enzyme
P21435	non Enzyme
P04386	non Enzyme
P22466	non Enzyme
P47211	non Enzyme
O60755	non Enzyme
Q8MLZ5	non Enzyme
Q9H706	non Enzyme
Q01721	non Enzyme
Q14393	non Enzyme
Q27913	non Enzyme
Q9UN88	non Enzyme
Q9RR45	non Enzyme
P06437	non Enzyme
P09257	non Enzyme
P01865	non Enzyme
Q14397	non Enzyme
P70348	non Enzyme
Q9VLA2	non Enzyme
P25855	non Enzyme
P43026	non Enzyme
P52306	non Enzyme
P37020	non Enzyme
Q7JQD3	non Enzyme
P06396	non Enzyme
Q9NWZ8	non Enzyme
P49177	non Enzyme
Q9UBI6	non Enzyme
P63211	non Enzyme
G5ECJ0	non Enzyme
P47869	non Enzyme
O95166	non Enzyme
O00591	non Enzyme
P48031	non Enzyme
Q27403	non Enzyme
P43535	non Enzyme
Q8N6F7	non Enzyme
Q9YGV1	non Enzyme
Q6KF10	non Enzyme
Q7Z4P5	non Enzyme
P50395	non Enzyme
P52566	non Enzyme
P48540	non Enzyme
P07093	non Enzyme
Q8IS21	non Enzyme
Q8IS16	non Enzyme
O14893	non Enzyme
Q9H840	non Enzyme
Q9M8W7	non Enzyme
O93430	non Enzyme
Q9NS18	non Enzyme
P32642	non Enzyme
Q86SX6	non Enzyme
P97737	non Enzyme
P27539	non Enzyme
Q9UK05	non Enzyme
Q7XA74	non Enzyme
P39905	non Enzyme
O81775	non Enzyme
Q86G47	non Enzyme
P13466	non Enzyme
Q8WXD5	non Enzyme
O70237	non Enzyme
P42212	non Enzyme
Q9JJT2	non Enzyme
Q8R0H9	non Enzyme
P32082	non Enzyme
Q76IQ4	non Enzyme
Q9QYH7	non Enzyme
P10912	non Enzyme
P38785	non Enzyme
Q9STX3	non Enzyme
Q9ZST4	non Enzyme
P04921	non Enzyme
Q8LGN1	non Enzyme
Q03445	non Enzyme
P23415	non Enzyme
P0AFU4	non Enzyme
P25373	non Enzyme
P47871	non Enzyme
Q7Z4T8	non Enzyme
P33438	non Enzyme
P14314	non Enzyme
Q94900	non Enzyme
Q02784	non Enzyme
P30082	non Enzyme
P13180	non Enzyme
P20354	non Enzyme
P19086	non Enzyme
Q9DGD4	non Enzyme
P22749	non Enzyme
Q13439	non Enzyme
Q14789	non Enzyme
P37042	non Enzyme
P46984	non Enzyme
P38736	non Enzyme
Q9UNW8	non Enzyme
P16894	non Enzyme
P22454	non Enzyme
P39717	non Enzyme
Q86WP2	non Enzyme
P35052	non Enzyme
O75487	non Enzyme
P60893	non Enzyme
P0C191	non Enzyme
Q9VM08	non Enzyme
P83293	non Enzyme
O89100	non Enzyme
P62993	non Enzyme
Q0QWG9	non Enzyme
F3Y5P4	non Enzyme
Q3V6T2	non Enzyme
Q9Y3R0	non Enzyme
Q14833	non Enzyme
O15303	non Enzyme
P35400	non Enzyme
P28799	non Enzyme
P09341	non Enzyme
P38646	non Enzyme
P24814	non Enzyme
F4IVL6	non Enzyme
Q9BQ67	non Enzyme
Q8LF89	non Enzyme
Q9NR23	non Enzyme
Q9TU69	non Enzyme
Q00805	non Enzyme
P37534	non Enzyme
Q9Z0G0	non Enzyme
P68331	non Enzyme
Q9FN69	non Enzyme
Q22663	non Enzyme
P02724	non Enzyme
Q17328	non Enzyme
P01275	non Enzyme
P62648	non Enzyme
P03423	non Enzyme
Q9P107	non Enzyme
P23625	non Enzyme
Q5BJK8	non Enzyme
Q8NBJ4	non Enzyme
Q9H4A6	non Enzyme
Q8BRM2	non Enzyme
Q9BQQ3	non Enzyme
P13224	non Enzyme
P28993	non Enzyme
P03205	non Enzyme
P28995	non Enzyme
O76584	non Enzyme
Q18434	non Enzyme
P27584	non Enzyme
Q04665	non Enzyme
Q8CFZ4	non Enzyme
Q9Y625	non Enzyme
Q86YW7	non Enzyme
Q14956	non Enzyme
Q14330	non Enzyme
Q5U431	non Enzyme
P30731	non Enzyme
Q14451	non Enzyme
Q4ZG55	non Enzyme
Q8K5C0	non Enzyme
P42260	non Enzyme
Q61602	non Enzyme
Q7NDN8	non Enzyme
Q5A477	non Enzyme
P29992	non Enzyme
Q14344	non Enzyme
P59215	non Enzyme
P63092	non Enzyme
P11488	non Enzyme
Q8MT06	non Enzyme
Q9UJJ9	non Enzyme
Q77CE4	non Enzyme
Q92805	non Enzyme
Q08378	non Enzyme
Q06003	non Enzyme
Q9VQ93	non Enzyme
Q9DB00	non Enzyme
Q9HD26	non Enzyme
Q94A76	non Enzyme
Q9H8Y8	non Enzyme
O95249	non Enzyme
O14653	non Enzyme
P70259	non Enzyme
B2RPY5	non Enzyme
P32249	non Enzyme
P03679	non Enzyme
P03200	non Enzyme
P08539	non Enzyme
Q9UHW5	non Enzyme
Q9Y2T6	non Enzyme
Q9EPB7	non Enzyme
Q83887	non Enzyme
P21401	non Enzyme
P09613	non Enzyme
Q9VKA5	non Enzyme
P28676	non Enzyme
Q5FWH3	non Enzyme
P31424	non Enzyme
Q7LDG7	non Enzyme
Q8TDF6	non Enzyme
Q9XIP7	non Enzyme
Q00582	non Enzyme
P14672	non Enzyme
Q9UGQ3	non Enzyme
Q9NRM0	non Enzyme
Q681K7	non Enzyme
Q99684	non Enzyme
Q9GZZ7	non Enzyme
P30047	non Enzyme
Q93V47	non Enzyme
Q9H936	non Enzyme
Q8K3L6	non Enzyme
P48546	non Enzyme
P48756	non Enzyme
P27900	non Enzyme
P94072	non Enzyme
Q6XP49	non Enzyme
Q9FFH0	non Enzyme
Q9ESH6	non Enzyme
P17695	non Enzyme
O76003	non Enzyme
Q8I4M5	non Enzyme
P26313	non Enzyme
P03540	non Enzyme
Q9Y692	non Enzyme
Q3T8J9	non Enzyme
O35166	non Enzyme
Q9Y3E0	non Enzyme
Q03554	non Enzyme
Q5VW38	non Enzyme
P51810	non Enzyme
O35930	non Enzyme
P55259	non Enzyme
Q19572	non Enzyme
Q9N2V6	non Enzyme
P16051	non Enzyme
Q99795	non Enzyme
O43292	non Enzyme
Q9NZH0	non Enzyme
P35803	non Enzyme
Q8K1M4	non Enzyme
P55095	non Enzyme
Q8NEA9	non Enzyme
Q96IJ6	non Enzyme
P08754	non Enzyme
P30968	non Enzyme
Q91VW5	non Enzyme
Q8TBA6	non Enzyme
Q7Z5G4	non Enzyme
Q941R4	non Enzyme
P18064	non Enzyme
Q08886	non Enzyme
Q9PW88	non Enzyme
Q8K4Z6	non Enzyme
Q99527	non Enzyme
Q96T91	non Enzyme
Q812E9	non Enzyme
Q9QY42	non Enzyme
Q9NQS5	non Enzyme
Q13227	non Enzyme
Q94B38	non Enzyme
P04505	non Enzyme
P04899	non Enzyme
P50148	non Enzyme
Q6R0H7	non Enzyme
Q9Z0F1	non Enzyme
P19087	non Enzyme
Q9BVP2	non Enzyme
Q0D2H9	non Enzyme
Q08AF8	non Enzyme
B0F9L4	non Enzyme
P07490	non Enzyme
B7ZAQ6	non Enzyme
P38875	non Enzyme
O88273	non Enzyme
P16371	non Enzyme
O95267	non Enzyme
Q9FGW9	non Enzyme
Q99988	non Enzyme
O14793	non Enzyme
Q7L5D6	non Enzyme
O60609	non Enzyme
Q53GS7	non Enzyme
Q8GXJ4	non Enzyme
Q6PBM1	non Enzyme
Q12438	non Enzyme
Q9D4M9	non Enzyme
Q9NZD2	non Enzyme
O08795	non Enzyme
Q9LU39	non Enzyme
G5EBR3	non Enzyme
Q9IH62	non Enzyme
P09991	non Enzyme
P30679	non Enzyme
Q12967	non Enzyme
Q9NVN8	non Enzyme
Q42510	non Enzyme
Q9H2G9	non Enzyme
P16517	non Enzyme
Q6PRD1	non Enzyme
P07359	non Enzyme
Q00743	non Enzyme
P28052	non Enzyme
P34046	non Enzyme
Q54R41	non Enzyme
Q9NQ84	non Enzyme
P06028	non Enzyme
P34299	non Enzyme
P48168	non Enzyme
Q03835	non Enzyme
O81001	non Enzyme
O70326	non Enzyme
Q9ZR12	non Enzyme
Q9NZI5	non Enzyme
P19490	non Enzyme
Q60934	non Enzyme
P14095	non Enzyme
Q8TAX9	non Enzyme
P48507	non Enzyme
Q9UHL9	non Enzyme
Q969Y2	non Enzyme
O95528	non Enzyme
P22732	non Enzyme
P40956	non Enzyme
P23527	non Enzyme
P81903	non Enzyme
P04913	non Enzyme
P70224	non Enzyme
Q02596	non Enzyme
Q17339	non Enzyme
Q12315	non Enzyme
P08151	non Enzyme
P10071	non Enzyme
P46158	non Enzyme
Q9JHJ3	non Enzyme
O74790	non Enzyme
Q61606	non Enzyme
P30678	non Enzyme
O95467	non Enzyme
Q9HC97	non Enzyme
O15354	non Enzyme
Q8WXG9	non Enzyme
Q9Y4H4	non Enzyme
Q9M5A9	non Enzyme
Q9W497	non Enzyme
Q9V4K2	non Enzyme
Q9VTN0	non Enzyme
Q01812	non Enzyme
Q61626	non Enzyme
Q24570	non Enzyme
P42287	non Enzyme
Q54ET0	non Enzyme
Q14416	non Enzyme
P91685	non Enzyme
Q9LY09	non Enzyme
Q8GWS0	non Enzyme
P57764	non Enzyme
C9K4X8	non Enzyme
P31316	non Enzyme
D2XV59	non Enzyme
A4D1E9	non Enzyme
Q8IRI6	non Enzyme
P11166	non Enzyme
P53290	non Enzyme
Q07647	non Enzyme
Q9NYZ3	non Enzyme
Q1ZXH8	non Enzyme
Q8VIK3	non Enzyme
P02255	non Enzyme
P20671	non Enzyme
Q99878	non Enzyme
P14770	non Enzyme
Q9C4Z6	non Enzyme
Q9R080	non Enzyme
Q8VDU0	non Enzyme
Q9HCN6	non Enzyme
Q9VPT1	non Enzyme
Q9U405	non Enzyme
Q13322	non Enzyme
Q9WTW1	non Enzyme
Q9LNN7	non Enzyme
Q9SL15	non Enzyme
B7ZQJ9	non Enzyme
Q9UBP9	non Enzyme
P0C5Z0	non Enzyme
Q16695	non Enzyme
P68431	non Enzyme
P84243	non Enzyme
P06339	non Enzyme
P68871	non Enzyme
Q06186	non Enzyme
P38523	non Enzyme
Q9BYG8	non Enzyme
Q9D8T2	non Enzyme
P31315	non Enzyme
Q4VBD9	non Enzyme
P15864	non Enzyme
P0C0S8	non Enzyme
Q8IUE6	non Enzyme
Q71UI9	non Enzyme
Q9P0M6	non Enzyme
P58876	non Enzyme
O60814	non Enzyme
Q99877	non Enzyme
P59169	non Enzyme
Q06629	non Enzyme
Q14CZ8	non Enzyme
Q9ULI3	non Enzyme
Q7TS99	non Enzyme
P03459	non Enzyme
P03452	non Enzyme
P05546	non Enzyme
P81172	non Enzyme
Q13588	non Enzyme
Q50H32	non Enzyme
P11021	non Enzyme
P52500	non Enzyme
Q84Y95	non Enzyme
Q9ZPH2	non Enzyme
Q12849	non Enzyme
A4D1B5	non Enzyme
Q9DG80	non Enzyme
Q9NDM2	non Enzyme
P06350	non Enzyme
P04908	non Enzyme
P08985	non Enzyme
P08992	non Enzyme
Q12692	non Enzyme
P84051	non Enzyme
P14003	non Enzyme
Q8I7Z8	non Enzyme
P54257	non Enzyme
P54256	non Enzyme
P69892	non Enzyme
P03138	non Enzyme
P80888	non Enzyme
Q9FX31	non Enzyme
Q7Z4V5	non Enzyme
Q9FVE6	non Enzyme
Q9H583	non Enzyme
Q9FHA7	non Enzyme
Q99P91	non Enzyme
Q9NWQ4	non Enzyme
P40197	non Enzyme
P36291	non Enzyme
O75791	non Enzyme
Q8R4T5	non Enzyme
O73754	non Enzyme
P0CAP2	non Enzyme
P70579	non Enzyme
O74791	non Enzyme
Q8IV61	non Enzyme
Q96305	non Enzyme
P09082	non Enzyme
Q5Y4Y6	non Enzyme
Q92896	non Enzyme
Q9C882	non Enzyme
Q9NY64	non Enzyme
P46065	non Enzyme
O95843	non Enzyme
Q04322	non Enzyme
P48566	non Enzyme
P07305	non Enzyme
P16104	non Enzyme
O75367	non Enzyme
P02283	non Enzyme
P59226	non Enzyme
Q9SJR5	non Enzyme
Q939N5	non Enzyme
Q9BYW1	non Enzyme
Q9JIF3	non Enzyme
Q12344	non Enzyme
Q07133	non Enzyme
P0C170	non Enzyme
P0C0S5	non Enzyme
P0C1H3	non Enzyme
Q6DRA6	non Enzyme
Q9D2U9	non Enzyme
Q05466	non Enzyme
Q9NVX0	non Enzyme
O94927	non Enzyme
Q9BT25	non Enzyme
Q5QNS5	non Enzyme
Q8TDQ0	non Enzyme
O00165	non Enzyme
Q8R316	non Enzyme
P32769	non Enzyme
Q9JKB0	non Enzyme
P34470	non Enzyme
Q9N2M8	non Enzyme
Q9UMX6	non Enzyme
Q02747	non Enzyme
A1Z6E0	non Enzyme
Q9H116	non Enzyme
P16401	non Enzyme
P53551	non Enzyme
Q93077	non Enzyme
Q8CGP6	non Enzyme
P04911	non Enzyme
Q6FI13	non Enzyme
Q7L7L0	non Enzyme
P09588	non Enzyme
P06899	non Enzyme
Q9LQQ4	non Enzyme
O23629	non Enzyme
D2Y232	non Enzyme
P01899	non Enzyme
P57102	non Enzyme
P61296	non Enzyme
Q02283	non Enzyme
Q96CS2	non Enzyme
Q68CZ6	non Enzyme
P02091	non Enzyme
Q9W7C5	non Enzyme
Q99075	non Enzyme
O61363	non Enzyme
Q0J7P4	non Enzyme
Q9EQ21	non Enzyme
Q00P32	non Enzyme
P59259	non Enzyme
P84040	non Enzyme
Q9EP66	non Enzyme
Q9V4C8	non Enzyme
P25364	non Enzyme
O88703	non Enzyme
P04253	non Enzyme
A8MVW5	non Enzyme
Q6R8J2	non Enzyme
P24306	non Enzyme
Q03062	non Enzyme
Q338B0	non Enzyme
Q9FK72	non Enzyme
P04441	non Enzyme
Q8LDL0	non Enzyme
Q9UM44	non Enzyme
O59836	non Enzyme
O00291	non Enzyme
P23873	non Enzyme
P87314	non Enzyme
P32479	non Enzyme
O17468	non Enzyme
Q9SYW8	non Enzyme
Q21446	non Enzyme
Q27355	non Enzyme
O75334	non Enzyme
Q99732	non Enzyme
Q17990	non Enzyme
Q9NUN5	non Enzyme
Q9Y468	non Enzyme
Q8WVP7	non Enzyme
Q8VEE1	non Enzyme
Q03252	non Enzyme
Q6ZN17	non Enzyme
Q7TQ95	non Enzyme
O15165	non Enzyme
Q8TF66	non Enzyme
Q9HCJ2	non Enzyme
Q96AG4	non Enzyme
Q6NSJ5	non Enzyme
Q9NZR2	non Enzyme
Q94CK9	non Enzyme
Q07954	non Enzyme
P38801	non Enzyme
P98158	non Enzyme
Q8VI56	non Enzyme
Q04087	non Enzyme
Q8ND56	non Enzyme
Q9WVC2	non Enzyme
O95274	non Enzyme
Q9D7S0	non Enzyme
Q86UE4	non Enzyme
Q9Y250	non Enzyme
Q9BRK4	non Enzyme
Q9Z0E1	non Enzyme
Q3U3R4	non Enzyme
Q54HI5	non Enzyme
P20700	non Enzyme
P61968	non Enzyme
Q6P5Q4	non Enzyme
Q9UN81	non Enzyme
P23490	non Enzyme
P14083	non Enzyme
Q9ZW11	non Enzyme
P94077	non Enzyme
P57743	non Enzyme
Q9FKB0	non Enzyme
P53905	non Enzyme
Q9Y2Q5	non Enzyme
O48847	non Enzyme
P51884	non Enzyme
Q9Y6Y9	non Enzyme
P16581	non Enzyme
P12980	non Enzyme
Q9D925	non Enzyme
Q8N653	non Enzyme
P53048	non Enzyme
Q96A59	non Enzyme
P78966	non Enzyme
Q8C052	non Enzyme
Q15691	non Enzyme
Q8BJ34	non Enzyme
O15232	non Enzyme
P10758	non Enzyme
P43657	non Enzyme
P45464	non Enzyme
Q5M8M9	non Enzyme
Q80TG9	non Enzyme
Q80XU8	non Enzyme
Q8BXA0	non Enzyme
Q5RHB5	non Enzyme
Q14114	non Enzyme
Q04833	non Enzyme
Q3UZ39	non Enzyme
Q9Y608	non Enzyme
Q8K377	non Enzyme
Q80XG9	non Enzyme
Q13449	non Enzyme
Q9Y333	non Enzyme
P38203	non Enzyme
Q8I4E2	non Enzyme
Q54D08	non Enzyme
Q14766	non Enzyme
Q8N2S1	non Enzyme
Q9LZH5	non Enzyme
Q07508	non Enzyme
P05777	non Enzyme
Q10268	non Enzyme
P35192	non Enzyme
P75830	non Enzyme
Q9VNS0	non Enzyme
Q5TCQ9	non Enzyme
P0DKL3	non Enzyme
P55145	non Enzyme
Q9P2G4	non Enzyme
P15205	non Enzyme
P16235	non Enzyme
Q945P8	non Enzyme
P47017	non Enzyme
P07866	non Enzyme
O43504	non Enzyme
P34078	non Enzyme
P01706	non Enzyme
Q17RY6	non Enzyme
O95711	non Enzyme
P30836	non Enzyme
O22808	non Enzyme
Q80WJ7	non Enzyme
Q14BB9	non Enzyme
Q05195	non Enzyme
O14417	non Enzyme
Q8NHW3	non Enzyme
Q9ULX9	non Enzyme
P54843	non Enzyme
Q9UNF1	non Enzyme
Q9QZ04	non Enzyme
Q8N4S9	non Enzyme
P02916	non Enzyme
Q13021	non Enzyme
Q66K74	non Enzyme
Q6R032	non Enzyme
Q8IWT6	non Enzyme
Q2WF71	non Enzyme
Q8BLY3	non Enzyme
P35688	non Enzyme
Q96JA1	non Enzyme
Q52KR2	non Enzyme
O82268	non Enzyme
Q9BRA0	non Enzyme
P23226	non Enzyme
Q9SIS3	non Enzyme
P10038	non Enzyme
P47074	non Enzyme
Q61826	non Enzyme
Q8WXG6	non Enzyme
P42003	non Enzyme
Q9H063	non Enzyme
O15525	non Enzyme
P43360	non Enzyme
Q9D992	non Enzyme
P25491	non Enzyme
B0V1P1	non Enzyme
O43324	non Enzyme
Q6VMQ6	non Enzyme
O43772	non Enzyme
Q14676	non Enzyme
O43068	non Enzyme
Q5ABU7	non Enzyme
P41318	non Enzyme
P01700	non Enzyme
Q95P90	non Enzyme
Q16992	non Enzyme
P05533	non Enzyme
Q9Y5Y7	non Enzyme
P06821	non Enzyme
Q12176	non Enzyme
Q7K3L1	non Enzyme
Q09180	non Enzyme
Q9H7P6	non Enzyme
P38300	non Enzyme
P32245	non Enzyme
Q8L7E9	non Enzyme
Q93XM7	non Enzyme
Q9P1T7	non Enzyme
Q05930	non Enzyme
Q9Z2D6	non Enzyme
Q93074	non Enzyme
Q9UHV7	non Enzyme
O60244	non Enzyme
Q21955	non Enzyme
P19659	non Enzyme
P32259	non Enzyme
Q9R0X0	non Enzyme
Q7XYY2	non Enzyme
Q71SY5	non Enzyme
O95402	non Enzyme
O43513	non Enzyme
P08965	non Enzyme
P63006	non Enzyme
O60952	non Enzyme
O17583	non Enzyme
P14585	non Enzyme
Q96GY3	non Enzyme
P90916	non Enzyme
Q9SZ15	non Enzyme
Q7KNS3	non Enzyme
Q803L0	non Enzyme
Q17667	non Enzyme
Q60664	non Enzyme
Q924X6	non Enzyme
D4A7P2	non Enzyme
Q9UFC0	non Enzyme
Q9VXY7	non Enzyme
Q9SJF1	non Enzyme
Q9Y4Z0	non Enzyme
P40070	non Enzyme
Q99KG5	non Enzyme
Q9BVC4	non Enzyme
Q9NPC1	non Enzyme
Q9UHA4	non Enzyme
Q0VGL1	non Enzyme
Q38796	non Enzyme
P01714	non Enzyme
Q64253	non Enzyme
P18337	non Enzyme
Q9HD34	non Enzyme
Q96L50	non Enzyme
Q8WWI1	non Enzyme
Q7KRI2	non Enzyme
Q3SXY7	non Enzyme
Q12912	non Enzyme
Q7TQH7	non Enzyme
Q94K80	non Enzyme
O75197	non Enzyme
P70587	non Enzyme
Q32MZ4	non Enzyme
O65375	non Enzyme
Q9P127	non Enzyme
P01718	non Enzyme
O95868	non Enzyme
Q5SQ64	non Enzyme
O60449	non Enzyme
Q9HBG7	non Enzyme
P16109	non Enzyme
Q6NPN4	non Enzyme
P04545	non Enzyme
Q02978	non Enzyme
Q9FHM4	non Enzyme
Q8IWC1	non Enzyme
Q9QXZ0	non Enzyme
P40958	non Enzyme
O59767	non Enzyme
Q13477	non Enzyme
O02626	non Enzyme
Q9VXY2	non Enzyme
P50537	non Enzyme
Q8BVN9	non Enzyme
Q9Y5V3	non Enzyme
Q6RHR9	non Enzyme
Q86UL8	non Enzyme
Q6P9F7	non Enzyme
Q7L1W4	non Enzyme
B3GS44	non Enzyme
Q969L4	non Enzyme
P83369	non Enzyme
Q8BUV6	non Enzyme
Q8LFL8	non Enzyme
P40089	non Enzyme
P62312	non Enzyme
Q9UK45	non Enzyme
P80748	non Enzyme
P04211	non Enzyme
Q86JF2	non Enzyme
Q14210	non Enzyme
P97412	non Enzyme
Q8K1Q4	non Enzyme
